accuracy,loss,val_accuracy,val_loss
0.4303797483444214,1.417138934135437,0.5328947305679321,1.3070461750030518
0.6286919713020325,1.080191731452942,0.625,1.042425513267517
0.7116736769676208,0.8436588048934937,0.6776315569877625,0.9641410708427429
0.7088607549667358,0.812761127948761,0.6184210777282715,1.1772366762161255
0.7243319153785706,0.6988908052444458,0.7565789222717285,0.7769256830215454
0.7848101258277893,0.5888554453849792,0.7171052694320679,0.8369805216789246
0.8241912722587585,0.4995388984680176,0.7236841917037964,0.8997529745101929
0.8326300978660583,0.4453710913658142,0.7894737124443054,0.6290085315704346
0.8452883362770081,0.4328010082244873,0.7894737124443054,0.6918734312057495
0.8762306571006775,0.3705887794494629,0.75,0.8524187803268433
