Model,Accuracy,Precision,Recall,F1_Score
Baseline CNN,0.8169934640522876,0.8135050360457332,0.8169934640522876,0.8087689256243783
Optimized CNN,0.7973856209150327,0.8047458765832518,0.7973856209150327,0.797766910078603
